"","Lon","Lat","species","value"
"2609",10.61246,59.873486,"Pleuronectes_platessa",64
"2618",10.512778,59.733889,"Pleuronectes_platessa",211
"2620",10.741256,59.2329992,"Pleuronectes_platessa",101
"2626",10.585,59.663056,"Pleuronectes_platessa",2220
"2633",10.738159,59.893152,"Pleuronectes_platessa",745
"2639",10.67,59.92,"Pleuronectes_platessa",24
"2640",10.5143874,59.8324791,"Pleuronectes_platessa",123
"2650",10.774639,59.842972,"Pleuronectes_platessa",51
"2662",10.4289222,59.0797784,"Pleuronectes_platessa",2986
"2666",10.674155,59.463364,"Pleuronectes_platessa",170
"2672",10.58785,59.42649,"Pleuronectes_platessa",81
"2678",10.504374,59.283593,"Pleuronectes_platessa",66
"2683",10.47285,59.348569,"Pleuronectes_platessa",79
"2747",10.606443,59.649072,"Pollachius_pollachius",61
"2775",10.845383,59.134642,"Pollachius_virens",3608
"2776",10.512778,59.733889,"Pollachius_virens",50
"2778",10.741256,59.2329992,"Pollachius_virens",138
"2785",10.3821,59.4724,"Pollachius_virens",49
"2788",10.389444,59.171222,"Pollachius_virens",30
"2789",10.699854,59.912147,"Pollachius_virens",775
"2798",10.5143874,59.8324791,"Pollachius_virens",32
"2810",10.782444,59.854306,"Pollachius_virens",152
"2825",10.660741,59.445949,"Pollachius_virens",163
"2827",10.641683,59.426114,"Pollachius_virens",125
"2829",10.594358,59.417073,"Pollachius_virens",282
"2835",10.604175,59.441273,"Pollachius_virens",41
"2836",10.504374,59.283593,"Pollachius_virens",262
"2849",10.486574,59.260094,"Pomatoschistus_microps",79
"2853",10.4341126,59.0639565,"Pomatoschistus_microps",3455
"2863",10.585,59.663056,"Pomatoschistus_microps",3930
"2873",10.53,59.88,"Pomatoschistus_microps",37
"2877",10.5143874,59.8324791,"Pomatoschistus_microps",456
"2887",10.774639,59.842972,"Pomatoschistus_microps",2570
"2889",10.782444,59.854306,"Pomatoschistus_microps",1069
"2892",10.599488,59.874648,"Pomatoschistus_microps",32
"2898",10.5764111881125,59.8555285108815,"Pomatoschistus_microps",21
"2899",10.4289222,59.0797784,"Pomatoschistus_microps",7629
"2908",10.594358,59.417073,"Pomatoschistus_microps",173
"2921",10.495182,59.266081,"Pomatoschistus_microps",59
